"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"UGA-multicast","MD",0.897338900422311,0.272654596454642,0.275126969338163,0.615948670944088,0.813932172318973,1624
"UGA-multicast","ME",0.839836677748071,0.591332190046859,0.591674407543351,0.998899889988999,1,3
"UGA-multicast","MI",0.907168811836151,0.287572823986281,0.291732344573964,0.629600316580926,0.818361693707954,1808
"UGA-multicast","MN",2.01329555387467,0.305507480011506,0.307694185966581,0.284282460136674,0.645102505694761,2153
"UGA-multicast","MO",0.617068546753429,0.369881076317699,0.384742373181798,0.951855935317898,0.963248805586182,297
"UGA-multicast","MS",1.1134165221901,0.535623865285366,0.538613500441237,0.963319748054835,0.967024824008892,151
"UGA-multicast","MT",0.851041884614864,0.487510695316798,0.498516738572652,0.974706744868035,0.978739002932551,123
"UGA-multicast","NC",0.787267950295122,0.370074561430225,0.375240107237297,0.890460792239289,0.94341147938561,483
"UGA-multicast","ND",0.534552588256937,0.362761189418825,0.378596142913623,0.969072164948454,0.974226804123711,238
"UGA-multicast","NE",0.502301999392277,0.355752906369535,0.355908606286765,0.997799779977998,0.998166483314998,18
"UGA-multicast","NH",0.735328405831683,0.38485868278942,0.394068195077429,0.949301983835415,0.97060984570169,280
"UGA-multicast","NJ",1.6187227531465,0.274688273171657,0.278011437257864,0.503623188405797,0.701539855072464,1854
"UGA-multicast","NM",1.01260250206927,0.315387798547787,0.321300751085258,0.612926918839515,0.789570326845391,1898
"UGA-multicast","NV",0.661957947331445,0.3276493172364,0.347262643829822,0.990011098779134,0.99260081391047,80
"UGA-multicast","NY",3.18580352664253,0.337604991891041,0.340275908398909,0.449074074074074,0.590534979423868,1344
"UGA-multicast","OH",0.628840229293051,0.357222242315562,0.369184634322524,0.939531368102797,0.972033257747543,365
"UGA-multicast","OK",1.09379546698186,0.486315066985453,0.493488549943226,0.948784082535004,0.958732498157701,231
"UGA-multicast","OR",0.772961740897123,0.305257099276049,0.312833770623018,0.655836341756919,0.816686722823907,1708
"UGA-multicast","PA",1.30274714263125,0.331555842989291,0.333520660148647,0.77120067170445,0.864399664147775,763
"UGA-multicast","PR",0.935588530497951,0.305381636078551,0.310188879193974,0.697444352844188,0.852431986809563,1392
"UGA-multicast","RI",0.680275170315063,0.291901918097705,0.3014319226075,0.916330275229358,0.939816513761468,532
"UGA-multicast","SC",0.751840035947626,0.316296939840917,0.325353288839004,0.928183229813665,0.958074534161491,483
"UGA-multicast","SD",0.865917184929506,0.341760106630797,0.347996315036278,0.805316360913516,0.890677648820666,1010
"UGA-multicast","TN",0.765416665793784,0.312895873700799,0.322868147454318,0.899508877975066,0.946732149603325,532
